@category,@priority,@rank,@type,@output
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,
BAD_PRACTICE,2,16,SE_TRANSIENT_FIELD_NOT_RESTORED,
BAD_PRACTICE,2,16,SE_TRANSIENT_FIELD_NOT_RESTORED,
BAD_PRACTICE,2,16,SE_TRANSIENT_FIELD_NOT_RESTORED,
BAD_PRACTICE,3,19,SE_TRANSIENT_FIELD_NOT_RESTORED,
BAD_PRACTICE,3,19,SE_TRANSIENT_FIELD_NOT_RESTORED,
STYLE,3,20,DB_DUPLICATE_SWITCH_CLAUSES,
STYLE,3,20,DB_DUPLICATE_SWITCH_CLAUSES,
BAD_PRACTICE,3,19,DE_MIGHT_IGNORE,
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,
STYLE,2,19,SF_SWITCH_NO_DEFAULT,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
PERFORMANCE,3,20,DM_FP_NUMBER_CTOR,
BAD_PRACTICE,2,16,HE_EQUALS_NO_HASHCODE,
BAD_PRACTICE,2,16,HE_EQUALS_NO_HASHCODE,
STYLE,2,17,ICAST_IDIV_CAST_TO_DOUBLE,
PERFORMANCE,3,20,DM_FP_NUMBER_CTOR,
STYLE,2,17,ICAST_IDIV_CAST_TO_DOUBLE,
PERFORMANCE,3,20,DM_FP_NUMBER_CTOR,
STYLE,2,19,SF_SWITCH_NO_DEFAULT,
MT_CORRECTNESS,3,17,LI_LAZY_INIT_STATIC,
STYLE,2,18,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,
